Códigos UNSPSC,Descripción,Fecha estimada de inicio de proceso de selección,Duración estimada del contrato,Modalidad de selección,Fuente de los recursos,Valor total estimado,Valor estimado en la vigencia actual,¿Se requieren vigencias futuras?,Estado de solicitud de vigencias futuras,Datos de contacto del responsable
80111600,"PRESTACION DE SERVICIOS DE APOYO Y ACOMPAÑAMIENTO AL PROGRAMA DE BIENESTAR SOCIAL LABORAL DE LA ALCALDIA DE PUERTO LIBERTADOR – CORDOBA, PARA PROPICIAR CONDICIONES EN EL AMBIENTE DE TRABAJO DE LOS SERVIDORES PUBLICOS, QUE FAVOREZCA LA INTEGRACION, MOTIVACION, ASI COMO LA EFICACIA Y EFICIENCIA DEL DESEMPEÑO DE SUS FUNCIONES.",MARZO,3 MESES,Contratación directa,SGP,70000000,70000000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION COMO COORDINADOR DE JUVENTUDES DEL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA,MARZO,9 MESES,Contratación directa,SGP,13200000,13200000,N/A,N/A,Secretaria de desarrollo Social
80111600,PRESTACIÓN DE SERVICIOS COMO APOYO A LA COORDINACIÓN DEL PROGRAMA DEL ADULTO MAYOR EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.,ABRIL,8 MESES,Contratación directa,SGP,13050000,13050000,N/A,N/A,Secretaria de Gobierno
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR EL REPORTE  DE LA INFORMACION AL SISTEMA  UNICO DE INFORMACION SUI DE LA SUPERINTENDENCIA DE SERVICIOS PUBLICOS  DOMICILIARIOS VIGENCIA 2017 DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.,ABRIL,1 MES,Contratación directa,SGP,25000000,25000000,N/A,N/A,"Oficina de planeación y las TIC´s
ALBEIRO ANTONIO MARZOLA HOYOS
Jefe de oficina de planeación y TIC´s"
80111600,PRESTACION DE SERVICIOS DE APOYO A LA GESTION PARA LA CELEBRACION DEL DIA DEL NIÑO  EN LA ZONA URBANA Y RURAL  DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.,ABRIL,20 DIAS,Contratación directa,SGP,60000000,60000000,N/A,N/A,Secretaría de Desallorro Social
80111600,PRESTACION DE SERVICIOS DE APOYO A LA GESTION PARA LA CONMEMORACION DEL “DIA NACIONAL DE LA MEMORIA Y SOLIDARIDAD CON LAS VICTIMAS” EN EL MUNICIPIO DE PUERTO LIBERTADOR CORDOBA.,ABRIL,1 MES,Contratación directa,SGP,20500000,20500000,N/A,N/A,Secretaria de Gobierno
80111600,PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN PARA COORDINAR Y EJECUTAR LA IMPLEMENTACION  DE LAS ACCIONES RELACIONADAS A LA ESTRATEGIA RED UNIDOS EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.,MAYO,8 MESES,Contratación directa,SGP,60000000,60000000,N/A,N/A,Secretaría de Gobierno
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER OPERATIVO Y ASISTENCIAL COMO PORTERO DE LA ALCALDIA MUNICIPAL DE PUERTO LIBERTADOR - CORDOBA,MAYO,7 MESES,Contratación directa,SGP,12000000,12000000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS APOYO A LA GESTION COMO BODEGUERO DONDE SE ALMACENAN LOS ALIMENTOS NO PERECEDEROS PARA LA ATENCION DE AYUDA HUMANITARIA INMEDIATA Y EL PROGRAMA RN 1000 DIAS DEL ICBF EN EL MUNICIPIO DE PUERTO LIBERTADOR- CORDOBA.,MAYO,7 MESES,Contratación directa,SGP,12000000,12000000,N/A,N/A,Secretaria de Gobieno
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA REGISTRADURIA  NACIONAL DEL ESTADO CIVIL DELEGACION DEPARTAMENTAL DE CORDOBA SEGÚN CONVENIO  DE COOPERACION INTERADMINISTRATIVO  N°. 017 – 2017 CON EL MUNICIPIO DE PUERTO LIBERTADOR,MAYO,7 MESES,Contratación directa,SGP,16000000,16000000,N/A,N/A,Secretaria de Gobierno
80111600,"DESINSECTACIÓN Y DESRATIZACIÓN PARA LA PREVENCIÓN Y CONTROL DE ALGUNAS ENFERMEDADES Y DAÑOS OCASIONADOS POR MICROORGANISMOS, INSECTOS Y ROEDORES QUE AFECTAN LA SALUD; EN INSTITUCIONES EDUCATIVAS, RESTAURANTES ESCOLARES URBANOS Y RURALES DEL MUNICIPIO DE PUERTO LIBERTADOR - CORDOBA.",MAYO,2 MESES,Contratación directa,SGP,78500000,78500000,N/A,N/A,Secretaria de desarrollo Social
80111600,PRESTACIÓN DE SERVICIOS PARA EL SOPORTE TECNICO DEL SISTEMA ARIES DE LA ALCALDIA MUNICIPAL DE PUERTO LIBERTADOR – CORDOBA,MAYO,7 MESES,Contratación directa,SGP,18207000,18207000,N/A,N/A,Secretaía de Hacienda
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO ADMINISTRADOR (A) DE LOS PUNTOS VIVE DIGITAL EN EL MUNICIPIO DE PUERTO LIBERTADOR - CÓRDOBA,MAYO,7 MESES,Contratación directa,SGP,12800000,12800000,N/A,N/A,"Oficina de Planaecion y las TIC´s
Jefe Oficina de Planeación y las TIC´s"
80111600,"PRESTACIÓN DE SERVICIOS DE ASISTENCIA TÉCNICA AL PEQUEÑO Y MEDIANO CAMPESINO, ESPECIALMENTE EN EL ÁREA DEL AGRO. EN EL MUNICIPIO DE PUERTO LIBERTADOR - CÓRDOBA",MAYO,7 MESES,Contratación directa,SGP,15000000,15000000,N/A,N/A,Secretaria de Infraestructura
80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA REALIZAR TAREAS ENCOMENDADAS DE CARÁCTER ASISTENCIAL COMO SERVICIOS GENERALES EN LA FISCALÍA 31 Y 32 DEL MUNICIPIO DE PUERTO LIBERTADOR PARA DAR CUMPLIMIENTO AL CONVENIO N 002-2017 SUSCRITO ENTRE LA FISCALÍA GENERAL DE LA NACIÓN SECCIONAL CÓRDOBA Y EL MUNICIPIO DE PUERTO,MAYO,7 MESES,Contratación directa,SGP,10800000,10800000,N/A,N/A,Secretaria de Gobierno
80111600,CONTRATACIÓN PARA LA PRACTICA DEL DEPORTE LA RECREACIN Y EL APROVECHAMIENTO DEL TIEMPO LIBRE PARA REALIZAR ENCUENTRO DEPORTIVO DE VOLEIBOL FEMENINO EN EL CASCO URBANO DEL MUNICIPIO DE PUERTO LIBERTADOR,MAYO,2 MESES,Contratación directa,SGP,27000000,27000000,N/A,N/A,Secretaria de Desarrollo Social
80111600,PRESTACIÓN DE SERVICIOS EN APOYO A LA GESTIÓN COMO DIGITADOR DEL PROGRAMA MÁS FAMILIAS EN ACCION DEL MUNICIPIO DE PUERTO LIBERTADOR - CÓRDOB,MAYO,7 MESES,Contratación directa,SGP,15000000,15000000,N/A,N/A,Secretaria de Gobierno
80111600,PRESTACIÓN DE SERVICIOS PARA EL APOYO LOGSTICO EN LA REALIZACIN DE TORNEOS DEPORTIVOS EN EL MUNICIPIO DE PUERTO LIBERTADOR CRDOBA,MAYO,7 MESES,Contratación directa,SGP,90000000,90000000,N/A,N/A,Secretaría de Desarrollo Social
80111600,PRESTACIÓN DE SERVICIOS COMO APOYO AL ENLACE DE VICTIMAS EN EL MUNICIPIO DE PUERTO LIBERTADOR CÓRDOBA,JUNIO,6 MESES,Contratación directa,SGP,8400000,8400000,N/A,N/A,Secretaria de Gobierno
80111600,"PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO ESPECIALISTA DERECHO ADMINISTRATIVO Y CONTRATACIÓN ESTATAL COMO FORTALECIMIENTO INSTITUCIONAL PARA BRINDAR ASESORÍA Y APOYO JURÍDICO A LA ALCALDÍA DE PUERTO LIBERTADOR – DEPARTAMENTO DE CÓRDOBA, ESPECIALMENTE EN MATERIA CONTRACTUAL DE LAS MODALIDADES DE CONTRATACIÓN DIRECTA Y MÍNIMA CUANTÍA",ENERO,11 MESES,Contratación directa,SGP,60000000,60000000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,"PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO ESPECIALISTA EN DERECHO ADMINISTRATIVO Y CONTRATACIÓN ESTATAL, PARA BRINDAR ASESORÍAS Y APOYO JURÍDICO A LA ALCALDÍA DE PUERTO LIBERTADOR – CÓRDOBA, ESPECIALMENTE EN MATERIA CONTRACTUAL DE LAS MODALIDADES DE LICITACIÓN PUBLICA, SELECCIÓN ABREVIADA Y CONCURSO DE MERITOS.",ENERO,11 MESES,Contratación directa,SGP,60000000,60000000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,"PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO PARA LA REPRESENTACIÓN Y DEFENSA JUDICIAL DEL MUNICIPIO DE PUERTO LIBERTADOR, ANTE LOS DIFERENTES DESPACHOS JUDICIALES.",ENERO,11 MESES,Contratación directa,SGP,60000000,60000000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN CONTADOR PÚBLICO EN LA SECRETARIA DE HACIENDA EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA,ENERO,11 MESES,Contratación directa,SGP,36000000,36000000,N/A,N/A,Secretaria de Hacienda
80111600,"PRESTACIÓN DE SERVICIOS PROFESIONALES PARA EL ACOMPAÑAMIENTO EN EL SISTEMA PRESUPUESTAL, FINANCIERO EN EL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA",ENERO,11 MESES,Contratación directa,SGP,60000000,60000000,N/A,N/A,Secretaria de Hacienda
80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO ESPECIALISTA EN DERECHO ADMINISTRATIVO PARA EL FORTALECIMIENTO INSTITUCIONAL EN LOS PROCESOS ADMINISTRATIVOS DE LA ALCALDÍA DEL MUNICIPIO DE PUERTO LIBERTADOR – CÓRDOBA,ENERO,11 MESES,Contratación directa,SGP,60000000,60000000,N/A,N/A,"Secretaria General.
Kelly Johana Vergara Ensuncho"
80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES A LA SECRETARÍA DE INFRAESTRUCTURA DE LA ALCALDIA MUNICIPAL DE PUERTO LIBERTADOR – CÓRDOBA.,FEBRERO,11 MESES,Contratación directa,SGP,60000000,60000000,N/A,N/A,Secretaria de Infraestructura
80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN ABOGADO ESPECIALISTA EN TRIBUTARIO COMO ASESOR EN LA SECRETARÍA DE HACIENDA DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.,FEBRERO,11 MESES,Contratación directa,SGP,60000000,60000000,N/A,N/A,Secretaria de Hacienda
80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES PARA ASESORAR A LA DIRECCIÓN LOCAL DE SALUD EN LA APLICACIÓN DE METODOLOGIA EN EL AREA DE ASEGURAMIENTO DE SALUD PUBLICA- SAC Y BRINDAR ASESORIA EN LA IMPLEMENTACION DEL REDISEÑO INSTITUCIONAL  A LA ALCALDIA MUNICIPAL DE PUERTO LIBERTADOR – CÓRDOBA.,FEBRERO,11 MESES,Contratación directa,SGP,55000000,55000000,N/A,N/A,Secretaria de desarrollo Social
80111600,"PRESTACIÓN DE SERVICIOS PROFESIONALES PARA REALIZAR MONITOREO RAPIDO DE COBERTURAS DE VACUNACION EN LA ZONA URNABA Y ZONA RURAL, EN EL MUNICIPIO DE PUERTO LIBERTADOR - CÓRDOBA.",FEBRERO,1 MES,Contratación directa,SGP,25000000,25000000,N/A,N/A,Secretaría de desarrollo Social
80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO PSICOLOGA DE LA COMISARIA DE FAMILIA DEL MUNICIPIO DE PUERTO LIBERTADOR – CORDOBA.,FEBRERO,3 MESES,Contratación directa,SGP,6000000,6000000,N/A,N/A,Secretaria de Gobierno
